int	string	int	int[]	int	DTItemNum[]	int	DTBuildingReq[]	int	bool	int[]	string	string	int
8012	商务部	8	0	12	9002:10;2:100	40	8:11	1001	0	801201	商务部作用	商务部效果	2208
8013	商务部	8	0	13	9002:10;2:100	60	8:12	1001	0	801301	商务部作用	商务部效果	2208
8014	商务部	8	0	14	9002:10;2:100	60	8:13	1001	0	801401	商务部作用	商务部效果	2208
8015	商务部	8	0	15	9002:10;2:100	60	8:14	1001	0	801501	商务部作用	商务部效果	2208
8016	商务部	8	0	16	9002:10;2:100	80	8:15	1001	0	801601	商务部作用	商务部效果	2208
8017	商务部	8	0	17	9002:10;2:100	80	8:16	1001	0	801701	商务部作用	商务部效果	2208
8018	商务部	8	0	18	9002:10;2:100	80	8:17	1001	0	801801	商务部作用	商务部效果	2208
8019	商务部	8	0	19	9002:10;2:100	100	8:18	1001	0	801901	商务部作用	商务部效果	2208
8020	商务部	8	0	20	9002:10;2:100	100	8:19	1001	0	802001	商务部作用	商务部效果	2208
9001	办公室	9	13	1	9002:10;2:100	20	9:0	1002	1	900101;900102	办公室作用	办公室效果	2209
9002	办公室	9	0	2	9002:10;2:100	20	9:1	1002	0	900201;900202	办公室作用	办公室效果	2209
9003	办公室	9	0	3	9002:10;2:100	20	9:2	1002	0	900301;900302	办公室作用	办公室效果	2209
9004	办公室	9	0	4	9002:10;2:100	20	9:3	1002	0	900401;900402	办公室作用	办公室效果	2209
9005	办公室	9	0	5	9002:10;2:100	20	9:4	1002	0	900501;900502	办公室作用	办公室效果	2209
9006	办公室	9	0	6	9002:10;2:100	20	9:5	1002	0	900601;900602	办公室作用	办公室效果	2209
9007	办公室	9	0	7	9002:10;2:100	20	9:6	1002	0	900701;900702	办公室作用	办公室效果	2209
9008	办公室	9	0	8	9002:10;2:100	20	9:7	1002	0	900801;900802	办公室作用	办公室效果	2209
9009	办公室	9	0	9	9002:10;2:100	20	9:8	1002	0	900901;900902	办公室作用	办公室效果	2209
9010	办公室	9	0	10	9002:10;2:100	40	9:9	1002	0	901001;901002	办公室作用	办公室效果	2209
9011	办公室	9	0	11	9002:10;2:100	40	9:10	1002	0	901101;901102	办公室作用	办公室效果	2209
9012	办公室	9	0	12	9002:10;2:100	40	9:11	1002	0	901201;901202	办公室作用	办公室效果	2209
9013	办公室	9	0	13	9002:10;2:100	60	9:12	1002	0	901301;901302	办公室作用	办公室效果	2209
9014	办公室	9	0	14	9002:10;2:100	60	9:13	1002	0	901401;901402	办公室作用	办公室效果	2209
9015	办公室	9	0	15	9002:10;2:100	60	9:14	1002	0	901501;901502	办公室作用	办公室效果	2209
9016	办公室	9	0	16	9002:10;2:100	80	9:15	1002	0	901601;901602	办公室作用	办公室效果	2209
9017	办公室	9	0	17	9002:10;2:100	80	9:16	1002	0	901701;901702	办公室作用	办公室效果	2209
9018	办公室	9	0	18	9002:10;2:100	80	9:17	1002	0	901801;901802	办公室作用	办公室效果	2209
9019	办公室	9	0	19	9002:10;2:100	100	9:18	1002	0	901901;901902	办公室作用	办公室效果	2209
9020	办公室	9	0	20	9002:10;2:100	100	9:19	1002	0	902001;902002	办公室作用	办公室效果	2209
10001	接待室	10	14	1	9002:10;2:100	20	10:0	1002	1	1000101;1000102;1000103	接待室作用	接待室效果	2210
10002	接待室	10	0	2	9002:10;2:100	20	10:1	1002	0	1000201;1000202;1000203	接待室作用	接待室效果	2210
10003	接待室	10	0	3	9002:10;2:100	20	10:2	1002	0	1000301;1000302;1000303	接待室作用	接待室效果	2210
10004	接待室	10	0	4	9002:10;2:100	20	10:3	1002	0	1000401;1000402;1000403	接待室作用	接待室效果	2210
10005	接待室	10	0	5	9002:10;2:100	20	10:4	1002	0	1000501;1000502;1000503	接待室作用	接待室效果	2210
10006	接待室	10	0	6	9002:10;2:100	20	10:5	1002	0	1000601;1000602;1000603	接待室作用	接待室效果	2210
10007	接待室	10	0	7	9002:10;2:100	20	10:6	1002	0	1000701;1000702;1000703	接待室作用	接待室效果	2210
10008	接待室	10	0	8	9002:10;2:100	20	10:7	1002	0	1000801;1000802;1000803	接待室作用	接待室效果	2210
10009	接待室	10	0	9	9002:10;2:100	20	10:8	1002	0	1000901;1000902;1000903	接待室作用	接待室效果	2210
10010	接待室	10	0	10	9002:10;2:100	40	10:9	1002	0	1001001;1001002;1001003	接待室作用	接待室效果	2210
10011	接待室	10	0	11	9002:10;2:100	40	10:10	1002	0	1001101;1001102;1001103	接待室作用	接待室效果	2210
10012	接待室	10	0	12	9002:10;2:100	40	10:11	1002	0	1001201;1001202;1001203	接待室作用	接待室效果	2210
10013	接待室	10	0	13	9002:10;2:100	60	10:12	1002	0	1001301;1001302;1001303	接待室作用	接待室效果	2210
10014	接待室	10	0	14	9002:10;2:100	60	10:13	1002	0	1001401;1001402;1001403	接待室作用	接待室效果	2210
10015	接待室	10	0	15	9002:10;2:100	60	10:14	1002	0	1001501;1001502;1001503	接待室作用	接待室效果	2210
10016	接待室	10	0	16	9002:10;2:100	80	10:15	1002	0	1001601;1001602;1001603	接待室作用	接待室效果	2210
10017	接待室	10	0	17	9002:10;2:100	80	10:16	1002	0	1001701;1001702;1001703	接待室作用	接待室效果	2210
10018	接待室	10	0	18	9002:10;2:100	80	10:17	1002	0	1001801;1001802;1001803	接待室作用	接待室效果	2210
10019	接待室	10	0	19	9002:10;2:100	100	10:18	1002	0	1001901;1001902;1001903	接待室作用	接待室效果	2210
10020	接待室	10	0	20	9002:10;2:100	100	10:19	1002	0	1002001;1002002;1002003	接待室作用	接待室效果	2210
11001	会议室	11	15	1	9002:10;2:100	20	11:0	1002	1	1100101;1100102	会议室作用	会议室效果	2211
11002	会议室	11	0	2	9002:10;2:100	20	11:1	1002	0	1100201;1100202	会议室作用	会议室效果	2211
11003	会议室	11	0	3	9002:10;2:100	20	11:2	1002	0	1100301;1100302	会议室作用	会议室效果	2211
11004	会议室	11	0	4	9002:10;2:100	20	11:3	1002	0	1100401;1100402	会议室作用	会议室效果	2211
11005	会议室	11	0	5	9002:10;2:100	20	11:4	1002	0	1100501;1100502	会议室作用	会议室效果	2211
11006	会议室	11	0	6	9002:10;2:100	20	11:5	1002	0	1100601;1100602	会议室作用	会议室效果	2211
11007	会议室	11	0	7	9002:10;2:100	20	11:6	1002	0	1100701;1100702	会议室作用	会议室效果	2211
11008	会议室	11	0	8	9002:10;2:100	20	11:7	1002	0	1100801;1100802	会议室作用	会议室效果	2211
11009	会议室	11	0	9	9002:10;2:100	20	11:8	1002	0	1100901;1100902	会议室作用	会议室效果	2211
11010	会议室	11	0	10	9002:10;2:100	40	11:9	1002	0	1101001;1101002	会议室作用	会议室效果	2211
11011	会议室	11	0	11	9002:10;2:100	40	11:10	1002	0	1101101;1101102	会议室作用	会议室效果	2211
11012	会议室	11	0	12	9002:10;2:100	40	11:11	1002	0	1101201;1101202	会议室作用	会议室效果	2211
11013	会议室	11	0	13	9002:10;2:100	60	11:12	1002	0	1101301;1101302	会议室作用	会议室效果	2211
11014	会议室	11	0	14	9002:10;2:100	60	11:13	1002	0	1101401;1101402	会议室作用	会议室效果	2211
11015	会议室	11	0	15	9002:10;2:100	60	11:14	1002	0	1101501;1101502	会议室作用	会议室效果	2211
11016	会议室	11	0	16	9002:10;2:100	80	11:15	1002	0	1101601;1101602	会议室作用	会议室效果	2211
11017	会议室	11	0	17	9002:10;2:100	80	11:16	1002	0	1101701;1101702	会议室作用	会议室效果	2211
11018	会议室	11	0	18	9002:10;2:100	80	11:17	1002	0	1101801;1101802	会议室作用	会议室效果	2211
11019	会议室	11	0	19	9002:10;2:100	100	11:18	1002	0	1101901;1101902	会议室作用	会议室效果	2211
11020	会议室	11	0	20	9002:10;2:100	100	11:19	1002	0	1102001;1102002	会议室作用	会议室效果	2211
12001	财务部	12	16	1	9002:10;2:100	30	12:0	1002	1	1200101;1200102	财务室作用	财务室效果	2212
12002	财务部	12	0	2	9002:10;2:100	30	12:1	1002	0	1200201;1200202	财务室作用	财务室效果	2212
12003	财务部	12	0	3	9002:10;2:100	30	12:2	1002	0	1200301;1200302	财务室作用	财务室效果	2212
12004	财务部	12	0	4	9002:10;2:100	30	12:3	1002	0	1200401;1200402	财务室作用	财务室效果	2212
12005	财务部	12	0	5	9002:10;2:100	30	12:4	1002	0	1200501;1200502	财务室作用	财务室效果	2212
12006	财务部	12	0	6	9002:10;2:100	30	12:5	1002	0	1200601;1200602	财务室作用	财务室效果	2212
12007	财务部	12	0	7	9002:10;2:100	30	12:6	1002	0	1200701;1200702	财务室作用	财务室效果	2212
12008	财务部	12	0	8	9002:10;2:100	30	12:7	1002	0	1200801;1200802	财务室作用	财务室效果	2212
12009	财务部	12	0	9	9002:10;2:100	30	12:8	1002	0	1200901;1200902	财务室作用	财务室效果	2212
12010	财务部	12	0	10	9002:10;2:100	40	12:9	1002	0	1201001;1201002	财务室作用	财务室效果	2212
12011	财务部	12	0	11	9002:10;2:100	40	12:10	1002	0	1201101;1201102	财务室作用	财务室效果	2212
12012	财务部	12	0	12	9002:10;2:100	40	12:11	1002	0	1201201;1201202	财务室作用	财务室效果	2212
12013	财务部	12	0	13	9002:10;2:100	60	12:12	1002	0	1201301;1201302	财务室作用	财务室效果	2212
12014	财务部	12	0	14	9002:10;2:100	60	12:13	1002	0	1201401;1201402	财务室作用	财务室效果	2212
12015	财务部	12	0	15	9002:10;2:100	60	12:14	1002	0	1201501;1201502	财务室作用	财务室效果	2212
12016	财务部	12	0	16	9002:10;2:100	80	12:15	1002	0	1201601;1201602	财务室作用	财务室效果	2212
12017	财务部	12	0	17	9002:10;2:100	80	12:16	1002	0	1201701;1201702	财务室作用	财务室效果	2212
12018	财务部	12	0	18	9002:10;2:100	80	12:17	1002	0	1201801;1201802	财务室作用	财务室效果	2212
12019	财务部	12	0	19	9002:10;2:100	100	12:18	1002	0	1201901;1201902	财务室作用	财务室效果	2212
12020	财务部	12	0	20	9002:10;2:100	100	12:19	1002	0	1202001;1202002	财务室作用	财务室效果	2212
13001	训练室	13	17	1	9004:10;2:100	1	13:0	1006	1	1300101;1300102	训练室作用	训练室效果	2213
13002	训练室	13	0	2	9004:10;2:100	1	13:1	1006	0	1300201;1300202	训练室作用	训练室效果	2213
13003	训练室	13	0	3	9004:10;2:100	1	13:2	1006	0	1300301;1300302	训练室作用	训练室效果	2213
13004	训练室	13	0	4	9004:10;2:100	10	13:3	1006	0	1300401;1300402	训练室作用	训练室效果	2213
13005	训练室	13	0	5	9004:10;2:100	10	13:4	1006	0	1300501;1300502	训练室作用	训练室效果	2213
13006	训练室	13	0	6	9004:10;2:100	10	13:5	1006	0	1300601;1300602	训练室作用	训练室效果	2213
13007	训练室	13	0	7	9004:10;2:100	20	13:6	1006	0	1300701;1300702	训练室作用	训练室效果	2213
13008	训练室	13	0	8	9004:10;2:100	20	13:7	1006	0	1300801;1300802	训练室作用	训练室效果	2213
13009	训练室	13	0	9	9004:10;2:100	20	13:8	1006	0	1300901;1300902	训练室作用	训练室效果	2213
13010	训练室	13	0	10	9004:10;2:100	40	13:9	1006	0	1301001;1301002	训练室作用	训练室效果	2213
13011	训练室	13	0	11	9004:10;2:100	40	13:10	1006	0	1301101;1301102	训练室作用	训练室效果	2213
13012	训练室	13	0	12	9004:10;2:100	40	13:11	1006	0	1301201;1301202	训练室作用	训练室效果	2213
13013	训练室	13	0	13	9004:10;2:100	60	13:12	1006	0	1301301;1301302	训练室作用	训练室效果	2213
13014	训练室	13	0	14	9004:10;2:100	60	13:13	1006	0	1301401;1301402	训练室作用	训练室效果	2213
13015	训练室	13	0	15	9004:10;2:100	60	13:14	1006	0	1301501;1301502	训练室作用	训练室效果	2213
13016	训练室	13	0	16	9004:10;2:100	80	13:15	1006	0	1301601;1301602	训练室作用	训练室效果	2213
13017	训练室	13	0	17	9004:10;2:100	80	13:16	1006	0	1301701;1301702	训练室作用	训练室效果	2213
13018	训练室	13	0	18	9004:10;2:100	80	13:17	1006	0	1301801;1301802	训练室作用	训练室效果	2213
13019	训练室	13	0	19	9004:10;2:100	100	13:18	1006	0	1301901;1301902	训练室作用	训练室效果	2213
13020	训练室	13	0	20	9004:10;2:100	100	13:19	1006	0	1302001;1302002	训练室作用	训练室效果	2213
14001	全国商务部	14	0	1	9002:10;2:100	1	14:0;8:1	1003	1	1400101	全国商务部作用	全国商务部效果	2214
14002	全国商务部	14	0	2	9002:10;2:100	1	14:1	1003	0	1400201	全国商务部作用	全国商务部效果	2214
14003	全国商务部	14	0	3	9002:10;2:100	1	14:2	1003	0	1400301	全国商务部作用	全国商务部效果	2214
14004	全国商务部	14	0	4	9002:10;2:100	10	14:3	1003	0	1400401	全国商务部作用	全国商务部效果	2214
14005	全国商务部	14	0	5	9002:10;2:100	10	14:4	1003	0	1400501	全国商务部作用	全国商务部效果	2214
14006	全国商务部	14	0	6	9002:10;2:100	10	14:5	1003	0	1400601	全国商务部作用	全国商务部效果	2214
14007	全国商务部	14	0	7	9002:10;2:100	20	14:6	1003	0	1400701	全国商务部作用	全国商务部效果	2214
14008	全国商务部	14	0	8	9002:10;2:100	20	14:7	1003	0	1400801	全国商务部作用	全国商务部效果	2214
14009	全国商务部	14	0	9	9002:10;2:100	20	14:8	1003	0	1400901	全国商务部作用	全国商务部效果	2214
14010	全国商务部	14	0	10	9002:10;2:100	40	14:9	1003	0	1401001	全国商务部作用	全国商务部效果	2214
14011	全国商务部	14	0	11	9002:10;2:100	40	14:10	1003	0	1401101	全国商务部作用	全国商务部效果	2214
14012	全国商务部	14	0	12	9002:10;2:100	40	14:11	1003	0	1401201	全国商务部作用	全国商务部效果	2214
14013	全国商务部	14	0	13	9002:10;2:100	60	14:12	1003	0	1401301	全国商务部作用	全国商务部效果	2214
14014	全国商务部	14	0	14	9002:10;2:100	60	14:13	1003	0	1401401	全国商务部作用	全国商务部效果	2214
14015	全国商务部	14	0	15	9002:10;2:100	60	14:14	1003	0	1401501	全国商务部作用	全国商务部效果	2214
14016	全国商务部	14	0	16	9002:10;2:100	80	14:15	1003	0	1401601	全国商务部作用	全国商务部效果	2214
14017	全国商务部	14	0	17	9002:10;2:100	80	14:16	1003	0	1401701	全国商务部作用	全国商务部效果	2214
14018	全国商务部	14	0	18	9002:10;2:100	80	14:17	1003	0	1401801	全国商务部作用	全国商务部效果	2214
14019	全国商务部	14	0	19	9002:10;2:100	100	14:18	1003	0	1401901	全国商务部作用	全国商务部效果	2214
14020	全国商务部	14	0	20	9002:10;2:100	100	14:19	1003	0	1402001	全国商务部作用	全国商务部效果	2214
15001	环球商务部	15	0	1	9002:10;2:100	1	15:0;14:1	1007	1	1500101	环球商务部作用	环球商务部效果	2215
15002	环球商务部	15	0	2	9002:10;2:100	1	15:1	1007	0	1500201	环球商务部作用	环球商务部效果	2215
15003	环球商务部	15	0	3	9002:10;2:100	1	15:2	1007	0	1500301	环球商务部作用	环球商务部效果	2215
15004	环球商务部	15	0	4	9002:10;2:100	10	15:3	1007	0	1500401	环球商务部作用	环球商务部效果	2215
15005	环球商务部	15	0	5	9002:10;2:100	10	15:4	1007	0	1500501	环球商务部作用	环球商务部效果	2215
15006	环球商务部	15	0	6	9002:10;2:100	10	15:5	1007	0	1500601	环球商务部作用	环球商务部效果	2215
15007	环球商务部	15	0	7	9002:10;2:100	20	15:6	1007	0	1500701	环球商务部作用	环球商务部效果	2215
15008	环球商务部	15	0	8	9002:10;2:100	20	15:7	1007	0	1500801	环球商务部作用	环球商务部效果	2215
15009	环球商务部	15	0	9	9002:10;2:100	20	15:8	1007	0	1500901	环球商务部作用	环球商务部效果	2215
15010	环球商务部	15	0	10	9002:10;2:100	40	15:9	1007	0	1501001	环球商务部作用	环球商务部效果	2215
15011	环球商务部	15	0	11	9002:10;2:100	40	15:10	1007	0	1501101	环球商务部作用	环球商务部效果	2215
15012	环球商务部	15	0	12	9002:10;2:100	40	15:11	1007	0	1501201	环球商务部作用	环球商务部效果	2215
15013	环球商务部	15	0	13	9002:10;2:100	60	15:12	1007	0	1501301	环球商务部作用	环球商务部效果	2215
15014	环球商务部	15	0	14	9002:10;2:100	60	15:13	1007	0	1501401	环球商务部作用	环球商务部效果	2215
15015	环球商务部	15	0	15	9002:10;2:100	60	15:14	1007	0	1501501	环球商务部作用	环球商务部效果	2215
15016	环球商务部	15	0	16	9002:10;2:100	80	15:15	1007	0	1501601	环球商务部作用	环球商务部效果	2215
15017	环球商务部	15	0	17	9002:10;2:100	80	15:16	1007	0	1501701	环球商务部作用	环球商务部效果	2215
15018	环球商务部	15	0	18	9002:10;2:100	80	15:17	1007	0	1501801	环球商务部作用	环球商务部效果	2215
15019	环球商务部	15	0	19	9002:10;2:100	100	15:18	1007	0	1501901	环球商务部作用	环球商务部效果	2215
15020	环球商务部	15	0	20	9002:10;2:100	100	15:19	1007	0	1502001	环球商务部作用	环球商务部效果	2215
