int	int	int	string	string	int	string	string	int	int	int	int	int[]	int[]	int	int[]	bool	int	int	int	int	DTStoryEffect[]	bool	int	int	int
剧本id	剧本编号	剧本组编号	剧本名称	策划备注	电影海报id	简介	策划备注2	剧本时长（分钟）	拍摄消耗	星级（Property.xlsx)	剧本风格（Property.xlsx)	剧本元素（Property.xlsx)	隐性剧本元素（Property.xlsx)	拍摄类型（服务器使用)	角色属性id（StoryCharacter.xlsx)	是否有剧本目标（0：没有，1有）	剧本目标id（StoryGoals.xlsx)	男性观众需求	女性观众需求	儿童观众需求	性别奖励(1601:场面,1602:表演;1603:剧情;1604:艺术;1605:娱乐）（电影属性:百分比）（Property.xlsx)	是否可以拍续作（0：不可以，1：可以）	媒体访问数下限	媒体访问数上限	拍摄随机名id（GameRandomName.xlsx)
id	story_num	stack_sort	zh_cn_story_name	name_tips	poster_name	zh_cn_introduction	introduction_tips	length	cost	stars	type	tags	hidden_tags	shoot_type	property	target_mark	target	male_percent	female_percent	child_percent	reward	sequel_mark	interviews_bottom	interviews_top	random_name
1001	1	1	情多深雨多濛	测试用剧本1	8001	出生于富贵之家的陆伊萍（女主角）被迫离开陆家，为了生活她不得不去歌舞厅当歌女，因缘巧合下他与何疏桓（男主角）相识，并得知他与自己同父异母的姐姐陆心萍（配角）有婚约。萌生了抢夺去其男友何疏桓以报复陆家，随着交往她渐渐被疏桓打动。正当她决定为了爱情放弃复仇时，却被疏桓知晓其报复计划。一波曲折后最终两人冰释前嫌，有情人终成眷属。	测试用剧本1	120	600	1302	1703	1804;1808		1001	1001;1002;1003;1004	1	1001	10	30	0	1603:25	1	0	5	1001
1002	2	1	西服农民	测试用剧本2	8002	22世纪地心出现生命生物，国土资源局建立了“黑衣人”的神秘机构，专门制裁邪恶的地心人。阿杰（主角）和老开（主角）是组织的前线观察人员，一天他们发现了企图夺走能量源“银河”的地心生物艾德根（反派）。事态紧急，阿杰和老开这对搭档带着先进武器对抗地心人追回“银河”。	测试用剧本2	130	500	1301	1702	1811;1807		1002	1005;1006;1007	0	0	10	10	10	1603:11	1	0	5	1002
1003	3	1	神力女超人	测试用剧本3	8003	自由生活在大山中的小女孩，跟随隐世的师父习得高超武艺，被一名外国探险家诱拐逃出深山，通过自身力量对抗外面世界的邪恶……	测试用剧本3	90	700	1303	1708	1801;1820;1808		1003	1008;1009;1010	1	1002	30	10	10	1601:5	1	0	5	1003
1004	4	1	囧人归家	测试用剧本4	8004	常年在外创业的玩具集团老板李诚功（主角），准备再春节回家与妻子梅莉（配角）离婚。然而，却在机场遇到了同一目的地的讨债工牛耿直（主角），命运作弄两人在路上遇到各种千奇百怪的事。经过了一系列的人与事后，李诚功渐渐被牛耿直的正直改变，唤醒了他沉睡多年的真情。	测试用剧本4	110	500	1301	1704	1816;1803		1004	1011;1012	0	0	10	10	10	1603:5	1	0	5	1004
1005	5	2	寄生少年	测试用剧本5	8005	某天夜里，来自外星的神秘寄生兽出现在霓虹上空，他们入侵到各地的人类身上，并占据身体，然而一位少年泉贤一（男主角）却因为意外只被侵占了右手，苏醒后的寄生兽小佑（主角）因为无法脱离本体，不得不与贤一合作。因为贤一的特殊存在让其他寄生兽对他发起了袭击，贤一的母亲也因此被杀害，渐渐了解到寄生兽目的的贤一决定挺身而出。	测试用剧本5	135	700	1303	1702	1801;1811		1005	1014;1015	1	1003	30	10	10	1601:5	1	0	5	1005
1006	6	2	暗藏危机	测试用剧本6	8006	杰姆斯（男主角）因童年一张老照片开启前往墨西哥之旅，邂逅了美丽的陆希亚（配角）揭开了名为幽灵党的邪恶组织。与他宿敌的女儿马迪琳（女主角）一同战胜布莱福（反派）	测试用剧本6	115	600	1302	1708	1801;1804		1006	1018;1019;1020;1021	1	1004	20	20	0	1601:5	1	0	5	1006
1007	7	2	探索死亡之地	测试用剧本7	8007	1994年十月，三个电影学院的学生——麦克（男主角），伊瑟（女主角）和奇什（男主角）前往马里兰州的一个小镇拍摄一部关于女巫的纪录片，然而在拍摄过程中三人全部失踪。人们在一年以后，发现了他们留下的电影胶片，记录了她们失踪前发生的一切……	测试用剧本7	95	500	1301	1706	1802;1812		1007	1022;1023;1024	0	0	20	20	0	1601:11	1	0	5	1007
1008	8	2	废材天才	测试用剧本8	8008	曾是家族天才的少年萧火火（主角）变成了只有三段斗气的弱鸡 ，他遭受了家族冷落，旁人轻视。更不幸的是与其定有婚约的未婚妻竟亲自上门退婚，对其百般羞辱，他立下誓言潜心修行，历经艰险，最终一雪前耻成为整个大陆的最强者。	测试用剧本8	85	600	1302	1706	1808;1801		1008	1025;1026;1027	1	1005	30	0	10	1603:5	1	0	5	1008
1009	9	3	花甲特工	测试用剧本9	8009	退休多年的军官特工丁豹（主角）一直为弄丢孙女自责，年事已高的他记忆力迅速衰退，后来与邻家小女孩春花（主角）相识。春花的父亲李振久（配角）确认他被牵扯进了一宗国际犯罪事件……	测试用剧本9	100	500	1301	1707	1809		1009	1029;1030;1031	0	0	10	10	10	1601:25	1	0	5	1009
1010	10	3	穿山甲说了什么	测试用剧本10	8010	鉴黄师小马（主角）救下被地球三体组织追杀的东营艺术家大木老师（主角），大木老师临死前告诉了他一个惊天秘密：穿山甲说……	测试用剧本10	150	600	1302	1710	1816;1812		1010	1032;1033	1	1006	20	10	0	1601:11	1	0	5	1010
1011	11	3	怪兽袭击	测试用剧本11	8011	太平洋海底区域出现了巨大无比的生物，贝克特兄弟加时机器战士迎敌最后哥哥不行牺牲，只剩罗利（男主角）肚子归来。时隔7年，怪兽战斗力不断增强，PDDC决定找回罗利单人驾驶员，和他一起搭档的是真子（女主角），他们能否战胜怪兽守卫地球……	测试用剧本11	120	500	1301	1702	1811;1807		1011	1035;1036	0	0	20	10	10	1601:11	1	0	5	1011
1012	12	3	江湖险恶	测试用剧本12	8012	令傅聪（男主角）在与日月神教的朋友会面后，将和小师妹岳菱姗（配角）归隐退出江湖。路途中意外发现练就“葵花宝典”的东方不败（反派）后来几次相遇，还一道饮酒吟诗。最后自己的同门皆死于东方不败之手，于是令傅聪和任茵茵（女主角）一起与东方不败决一生死。	测试用剧本12	130	700	1303	1709	1801;1803		1012	1308;1039;1040;1041	1	1007	30	10	10	1601:11	1	0	5	1012
1013	13	4	子弹再飞一会	测试用剧本13	8013	花钱捐得县长的乔邦德（男主角）携妻（女主角）走马上任。遭张麻子（男主角）伏击，只夫妻二人侥幸活命。马为报名，谎称自己是师爷。张麻子为此心动，化身县长，带着手下上任。可鹅城恶霸黄四狼（南反派）只手遮天，全然不在乎这个新县长。原本只想赚钱的乔邦德，怎么也想不到竟会被卷入这场土匪和恶霸的角力之中。	测试用剧本13	90	900	1305	1708	1809;1813;1817		1013	1042;1043;1044;1045	1	1008	30	30	10	1603:25	1	0	5	1013
1014	14	4	眼镜伪装者	测试用剧本14	8014	克特（男主角）一名记者，出生于氪金星，年幼时被送往地球，长相平凡，体格强健，拥有超越地球的能力	测试用剧本14	110	500	1301	1702	1801;1809		1014	1046;1048	0	0	10	10	10	1601:25	1	0	5	1014
1015	15	4	中村下等兵	测试用剧本15	8015	抗日战争进入尾声，鬼子想最后捞一把，把一尊佛像运回日本。于是村里上到古稀的老奶奶，下到稚气未脱的儿童团员都加入到保护国家文物的队伍中来。在郭叔（主角）的带领下，村民让鬼子出尽了洋相、吃尽了苦头。最终鬼子小分队除了中村下等兵（主角）全被消灭，中村下等兵也在这场战争中精神失常。	测试用剧本15	135	600	1302	1701	1817		1015	1049;1050	1	1009	20	20	20	1603:25	1	0	5	1015
1016	16	4	再见无期	测试用剧本16	8016	东边一起长大的年轻人马昊瀚（主角），姜河（主角）不甘于平凡，决定重新选择自己未来要走的道路。在勇敢横跨大陆的自驾旅途上，他们遭遇了各种传奇经历，也让他们从此有了各自截然不同的命运归宿。	测试用剧本16	115	600	1302	1704	1816;1804		1016	1052;1053	1	1010	20	20	0	1603:11	1	0	5	1016
1017	17	5	飞檐走壁高中生	测试用剧本17	8017	皮克（男主角）是一个父母双亡，没车没房，青梅竹马还被好朋友抢走的悲剧高中生。一次意外让他获得了如同蜘蛛般的超能力，作为一个正常的年轻人，他利用超能力耍帅赚钱。一次他放过了一个歹徒，指示世上唯一的亲人被杀，后悔不已的皮克决定痛改前非，利用自己的能力惩奸除恶。	测试用剧本17	95	600	1302	1702	1801;1804		1017	1055;1058	1	1011	20	10	10	1601:11	1	0	5	1017
1018	18	5	人虎大战	测试用剧本18	8018	武松（主角），因喝醉酒半夜翻山遇到了一只老虎，后赤手空拳将老虎打死的故事。从写着老虎需要人扮演这点来看，好像是大学话剧剧本	测试用剧本18	85	500	1301	1708	1801;1820;1811		1018	1059;1060	0	0	20	0	10	1601:5	1	0	5	1018
1019	19	5	海上小子	测试用剧本19	8019	这是一个全民海贼的时代，为了寻找巨大的宝藏，无数海贼扬帆起航。路的（主角）就是其中的一个小海贼，但是他必须找到强力的同伴才能与其他海贼以及海军抢夺宝藏。于是路的踏上了寻找伙伴的冒险之旅。	测试用剧本19	100	600	1302	1708	1801;1809		1019	1061;1062;1063	1	1012	20	10	10	1603:25	1	0	5	1019
1020	20	5	探陵	测试用剧本20	8020	兰婷（女主角）是网络作家，因与父亲关系差而独居。兰婷之父拍乔费（男主角）邀她共进晚餐缓和关系，但没想到因此产生误会。当晚，兰亭突然遭遇车祸后被劫持，劫匪是庚谷（配角）与华叔（配角），他们想换得大漠的藏宝地图。乔费得知后前来营救，醉着逐步靠近宝藏地，他们也渐渐解开了失落古城的秘密……	测试用剧本20	150	500	1301	1708	1801;1802;1808;1817		1020	1065;1066;1067;1068	0	0	20	10	0	1601:25	1	0	5	1020
1021	21	6	翡翠之城遇到你	测试用剧本21	8021	温洁洁（女主角）为了让自己的孩子成为“美利坚公民”，他来到西雅图待产生子。在西雅图，他只能向司机郝之（男主角）倾诉心声。相处中，郝之的体贴包容渐渐融化着温洁洁的刁蛮任性。当温洁洁的富豪男友失踪后，跟郝之和他的女儿（配角）一起生活的日子，让温洁洁找到了家的温暖。	测试用剧本21	120	700	1303	1703	1804;1803		1021	1069;1070;1071	1	1013	20	10	0	1603:5	1	0	5	1021
1022	22	6	天机烧剩两张图	测试用剧本22	8022	被誉为“中国十大传世名画”之一的《富春山居图》将在2011年于台湾合璧展出，引来各国罪犯的觊觎。日本文物走私大鳄岸本俊雄（反派）将目标锁定在深藏杭州的其中一半“剩山图”。在利欲熏心，刀光剑影的轮番交手中，香港警署海外缉私科特工萧景寒（男主角）和身份莫辨的王雪箐（女主角）能否携手守住国宝呢。	测试用剧本22	130	500	1301	1704	1801;1809;1801;1817		1022	1072;1073;1074	0	0	20	10	0	1601:11	1	0	5	1022
1023	23	6	四十米大掌	测试用剧本23	8023	自小受尽欺辱的亚星（男主角）是一个街头混混，他一心想要加入当时势力强大的锄头帮，在黑帮里出人头地。而作为入帮的条件就是铲“平猪笼城寨”，谁曾料想到这里竟卧虎藏龙，高手如云。他们奋起与邪恶的锄头帮对抗，而处于激烈斗争中的亚星渐渐认清自我神偷功夫的奥秘，习得一套冲天而降的掌法。	测试用剧本23	90	700	1303	1704	1801		1023	1075;1077	1	1014	20	20	10	1601:11	1	0	5	1023
1024	24	6	一人一马走天涯	测试用剧本24	8024	关于（主角）自曹操（反派）处逃出，千里走单骑回到刘备身边的故事，剧本十分简单，感觉像是大学生的练习之作，细节全凭演员发挥	测试用剧本24	110	500	1301	1708	1805;1820;1813		1024	1079;1080	0	0	20	0	10	1601:5	1	0	5	1024
1025	25	7	大龄青年的回忆	测试用剧本25	8025	80后一代人匆匆而过的青春故事。那年一个阳光男孩陈旬（男主角）喜欢一个文静女孩方蕙（女主角）的校园，纯情少年赵也（配角）痴心等待着豪放女神林墨嘉（配角）的校道。记录了青春、记忆与友情最美好纯真的回忆相册	测试用剧本25	135	500	1301	1704	1812;1804;1815		1025	1081;1082;1083;1084	0	0	10	20	0	1603:5	1	0	5	1025
1026	26	7	白骨恋人	测试用剧本26	8026	悟空（主角）依赖火眼金睛识破了白骨精（反派）的化身，但却无法取信于三藏法师（配角），再三被惩罚后选择离去，而此时的三藏法师，就要单独面对袭来的白骨精……改编自西游记	测试用剧本26	115	500	1301	1706	1802;1801;1811		1026	1085;1086;1087	0	0	20	10	20	1601:11	1	0	5	1026
1027	27	7	游轮撞冰山	测试用剧本27	8027	举世闻名的豪华铁船在处女起航后触礁冰山而沉没的事件为背景，描述了处于不同阶层的扎克（男主角）和丽思（女主角）坠入爱河的感人故事。不知道为什么这个剧本听上去各种耳熟，感觉像是三流剧作家看完某部传奇电影之后混合了其他要素写出来的。	测试用剧本27	95	500	1301	1710	1804;1810		1027	1089;1090	0	0	10	20	0	1603:5	1	0	5	1027
1028	28	7	警察传说	测试用剧本28	8028	在一次围捕贩毒行动中，陈家举（男主角）逮捕了大毒枭朱陶（反派），最终却因为证据不足被朱陶设计报复。被警局误以为是杀害同伴的凶手，为了证明清白神家具四处收集证据，最终将朱陶捉拿并洗刷清白。	测试用剧本28	85	600	1302	1705	1809;1803		1028	1091;1092;1093	1	1015	20	10	10	1601:25	1	0	5	1028
1029	29	8	幸福的幻想	测试用剧本29	8029	这是一个四处洋溢着幸福的平安夜，一个穿着破旧的小女孩（主角）不停在街上叫卖着火柴，但是没有人跟她买火柴。饥寒交加的小女孩走到角落里，她划亮了一根又一根火柴，第一次她看到了一个温暖的火炉，第二次看到了一只香喷喷的烤鹅，第三次他看到了一棵美丽的圣诞树，第四次他看到了慈祥的奶奶（配角），最后小女孩划亮了所有的火柴。	测试用剧本29	100	500	1301	1704	1820		1029	1094;1095	0	0	10	10	20	1603:5	1	0	5	1029
1030	30	8	爱情游戏	测试用剧本30	8030	事实证明，世界很大，但世界也可能很小。今天节目编导尹孜（女主角）在工作中重逢了多年前暗恋的男神余斐（男主角），心中默喜的她却没有想到一切并非所想的那么顺利。她明白在这场爱情游戏中，谁认真谁就输了。	测试用剧本30	150	600	1302	1703	1804;1803		1030	1096;1097;1098	1	1016	20	20	0	1603:11	1	0	5	1030
